Unnamed: 0	drugName	condition	review	rating	date	usefulCount
106972	Implanon	Birth Control	"""I am 51 year old on my 2nd Implanon device; the first one replaced at 3 years as recommended.  I did gain some weight, but it&#039;s more a water retention thing.  I used to have very painful periods, which is why my GYN recommended it.  I&#039;m one of the lucky ones.  Have not had any periods in 5 years, (spotted a bit the first month only) and plan to continue to use the Implanon until I&#039;m completely menopausal (still perimenopausal).  The only reason I can&#039;t give it a 10 is whenever my blood pressure is taken in the left arm, the implant site &quot;pinches&quot;, solved by having BP taken on the other arm, but I was told I shouldn&#039;t be able to notice it.  Cost a bit up front (even with insurance), but saved on prescription co-pays for 3 years so still cost effective."""	9.0	July 12, 2013	7
204538	BuSpar	Anxiety	"""Been on this medication for over 12 years.  Works well for me. Calms me down without the &quot;brain zapping&quot; I got from Paxil and Lexapro. Dosage has been adjusted throughout the years. I am told 60mgs a day is the maximum dose. I am currently on 15mgs 3 times per day.  It took a good two weeks to get into my system, and I remember thinking it wasn&#039;t working at first.  It&#039;s no Xanax, but it has helped me much more then Paxil and Lexapro did.  This works well for me, and I have no issues taking it for the rest of my life.  I do get some increased hunger and minor dizziness after each dose for about 15 minutes, but that beats being anxious and worrying all the time.  It is also pretty cheap."""	9.0	April 24, 2013	197
6342	Formoterol / mometasone	moterol / mometasone)	"""Dulera works pretty well, do not need to use my rescue inhaler as often, but the one main downside is that it continuously causes me to have sinuitis which then causes a migraine.  I have always had bad problems with my sinuses, so am definately reconsidering continuing using this product."""	5.0	October 24, 2013	31
215241	Lubiprostone	Irritable Bowel Syndrome	"""This is really working for me. I am taking 24 mgs. once a day. I have had no side effects at all."""	8.0	July 4, 2010	27
198160	Atrovent	COPD, Maintenance	"""I like this inhaler except for the ridiculous dose counter.
It&#039;s only worth a 4 rating for that.
Who in the world thought this counter would be better?
"""	4.0	July 24, 2013	10
4687	Belviq	Weight Loss	"""I just started belviq today I&#039;m a 39 yr old diabetic woman and struggle with my weight all of my life but it got worse after having my first of 3 kids, it really became harder. I was a little scared as I have never taken diet pills before so I&#039;m extremely nervous. But after reading most of the reviews took some of the edge off. I&#039;m at 317 lbs and I&#039;m so excited to see my results, headed for the gym now, I will keep you updated..."""	1.0	May 15, 2015	21
116493	Adalimumab	Psoriasis	"""After taking Methotrexate for several years with great results until a year or so. Now I&#039;ve done my starter Humira doses three days ago and believe it or not I&#039;ve already seen a slight result... all the redness has subsided. And scaliness has gone away. Here&#039;s hoping for the best. """	8.0	May 23, 2011	30
190964	Clorazepate	Anxiety	"""I on Klonopin 2mg 3xdaily, for many yrs. I don&#039;t know if others have experienced the same thing or not. But, I felt I, either had been on it so long it lost some of it&#039;s effectiveness, or my anxiety and panic attacks got worse due to a tragedy. But I switched to Clorazepate and I cannot believe how much better I feel. I took it before, yrs ago, for a couple of months, and I do urge you not to start out on an extreme high dose, until you know how it works for you, and if you need to increase it, you can. A true lifesaver for me. Good luck to you others out there."""	10.0	October 3, 2013	57
115347	Propofol	Anesthesia	"""Went for colonoscopy after 12 year delay. Newer anesthesia than the earlier one. Propofol. Just great. Out in a few seconds as I was saying I could feel it taking effect. Next I was being awakened in recovery. Groggy for maybe 10 minutes. Thank full it was over. Sorry for those who had bad reactions because for most of us it is the perfect twilight procedure drug."""	10.0	January 26, 2017	12
38870	Esomeprazole	GERD	"""Taking for first time stared 6 days ago and it is not helping and seems to be making condition worse. Lots of swallowing, stomach noises, dry cough, and lack of energy. Disappointed. Is it safe to just discontinue use?"""	1.0	December 29, 2016	14
88427	Adderall	Narcolepsy	"""I could not get out of bed without Adderall. I have been taking it since 2000. However, I developed a severe spinal disease, fibro, and arthritis. I had to give in to taking pain meds which interfered with my Adderall dosage. I currently take 40mg. I have found this dose ineffective for the past several years. My family doctor prescribes my meds and doesn&#039;t feel comfortable titrating up to 60mg. I weigh 335mg as well. I am frustrated and feel exhausted most of the day."""	10.0	March 30, 2013	36
180031	Adapalene / benzoyl peroxide	Acne	"""Last year I stared using this. I used it for about 2-3 months maybe even more but it didn&#039;t make much of a difference. But I guess everyone&#039;s skin is different, it may work for some people and not for others."""	4.0	September 19, 2013	6
158252	Ziprasidone	Bipolar Disorde	"""I have been on Geodon for 3 years now, and I like it better than other bipolar medicines! But the downside is I forget things really easy, and also I can&#039;t remember things from years ago like I should. People tell me things I have no idea what they are talking about. I manic every once in a while, I take 60mg in mornings and 60mg at bedtime. It hasn&#039;t gave me trouble with my heart, and my blood pressure stays great. I hope this helps. I am trying to cope with it without changing medicines."""	10.0	July 24, 2011	16
117759	Nortriptyline	Migraine Prevention	"""Nortiptyline has worked well for preventing my headaches for two months now.  """	10.0	September 19, 2008	109
69987	Efavirenz / emtricitabine / tenofovir	HIV Infection	"""I&#039;ve been on Atripla for 10 months now and have had CD4 count go from 64 to 310 and viral load from high to undetectable.  Side effects at first were pretty wild hallucinations and insomnia especially when combined with Ambien, which I&#039;ve completely stopped now.  I take it every night and no longer have any side effects.  I look and feel much better and am very thankful for this medicine."""	10.0	December 27, 2010	5
37370	Vyvanse	ADHD	"""I am a male and 42 yrs old. I am an ASM in retail and a husband and father of four kids. The doctor prescribed 30 mgs the first two months and upped the meds to 40 mgs. I have only been on them for 5 months. I have seen and felt a huge change in my life style. I am more focused at home and especially at work. I am Mr. Mom and won&#039;t stop cleaning at home. I even cut and edge my neighbor&#039;s front yard. I lost 10 lbs and now weigh 197.  I do feel myself get upset faster though. Because I feel that, I also stop and calm myself down. So far I have no complaints....yet."""	9.0	June 8, 2014	74
140333	Asenapine	Schizophrenia	"""I been on so many medications. This one is the best medication I have been on. The only negative is that it makes me sleepy when I take the medication. Overall, this medication is great because you don&#039;t have to worry about the voices."""	8.0	May 22, 2011	24
4747	Belviq	Weight Loss	"""I never thought of myself as fat but chunky I might say. Well I am overweight at 5&quot;5 198lbs. So I started on Belviq six months ago and felt it was pricey 155.00 after the 75.00 discount. Well I have lost 35 pounds and now get it for 75.00 per month as my insurance does not cover this easy to use medicine. I had a little dry mouth but otherwise nothing to really not as a bad side effect. My overall health is much improved as well as my confidence."""	10.0	March 24, 2015	103
154132	Lialda	Ulcerative Colitis	"""I have been on this medicine for approximately one and a half weeks and it has improved my colitis immensely so far but I don&#039;t think I can continue to use it because of the cost. """	8.0	March 18, 2012	11
64872	Sertraline	Social Anxiety Disorde	"""I&#039;ve struggled with anxiety &amp; depression my entire life, &amp; I was wary of starting sertraline(at age 20) but 50mg a day has changed me for the better. I&#039;m happier, less anxious overall, I got a job, I can do all the things my anxiety wouldn&#039;t allow, like answering the phone, going shopping alone, making small talk with people.  There have been some unpleasant side effects, alcohol puts me right to sleep now. I have no appetite (lost about 15lbs) and my sex drive is noticeably diminished. Whatever you do, do not stop cold turkey. 50mg is a very small dose but the withdrawals are hell. I ran out and couldn&#039;t get a refill for a week, I was cold sweating through my clothes 24/7, shaky, suicidal, dizzy, and my anxiety was worse than before"""	8.0	June 10, 2015	67
9963	Lo Loestrin Fe	Birth Control	"""I am 19 yrs old and I was experiencing a hormone imbalance so my doctor decided to try and balance my hormones out and gave me Lo Loestrin Fe, which is the birth control with the lowest amount of estrogen on the market. I was to test it out for 3 months and I am on my second month. It&#039;s actually pretty great. I experienced no side effects and so far its going great. """	9.0	October 6, 2013	5
6812	Beyaz	Birth Control	"""I just started taking it and i am one week into it and I have already gained 6 pounds because my hunger has increased! But other than that it is a great pill."""	8.0	July 4, 2011	2
46719	Clindamycin	Acne	"""I was prescribed the topical ointment Clindatech by my GP after three years trying different medications for my adult cystic acne. It has now been two weeks and the improvement is incredible, I no longer struggle with huge cysts that last for weeks and the smaller spots I had are about 80% gone. 
I haven&#039;t had skin this clear in 10 years. I use the applicator as often as I think to when not wearing makeup and twice a day when I do. 
A thing to note is that since using this drug I have completely stopped squeezing cysts and blackheads, so that the drug was given a fair go. 
The only thing I&#039;m not completely satisfied with it the fact that Clindatech doesn&#039;t stop small pimples from forming (due to hormones), but it does kill them within days."""	9.0	May 1, 2017	38
189594	Nortrel 1 / 35	0</span> users found this comment helpful.	"""They switched me from Necon to Nortrel saying it was the &quot;same&quot;. Within the first week I knew it was bad for my body. My acne got worse and hurt, and my doctor said it should be helping my acne get better. Since I started 6 months ago with Nortrel I have had dry eyes and now I have a hard time seeing far away, which my eye doctor said is due to dry eyes since I have 20/20 vision. I was on Necon for 4 years and was so upset they switched me. I&#039;m stopping the pill completely now and I&#039;m worried about side effects of going off but it&#039;s not worth the dry eyes and other bad side effects. Very disappointed."""	2.0	August 16, 2017	0
147166	Alprazolam	Anxiety	"""If I don&#039;t take it my skin feels like something is biting me and I itch all over I get very agitated and I can&#039;t sleep or sit still or focus my attention for a normal amount of time"""	10.0	August 20, 2013	36
107336	Implanon	Birth Control	"""I have had the Implanon since May of 2009. I liked it at first, no problems. But, it is now 2 and a half years later, my periods usually last 3-4 weeks, heavy, then I am off for about 2 weeks. It is awful! Along with heavy, long periods, I have gained 30lbs. Even before having my son, I was on a very healthy diet and exercised 5 days a week, if not more. Sadly enough, I can&#039;t get the weight to budge! I think the Implanon just is not right for me, so I am going to take my chances with the pill!"""	3.0	December 3, 2011	0
140961	Escitalopram	Generalized Anxiety Disorde	"""I am only 18 years old and I have been on 5 mg lexapro (Escitalopram) for 2 years now, haven&#039;t had any panic attacks or anxiety since I started it. I feel so much better and no more anxiety! If this medication is new to you, in the first few weeks you may have a few side effects until you get use to it but nothing at all to worry about."""	10.0	February 26, 2016	15
51391	Azithromycin	Upper Respiratory Tract Infection	"""One day and I already feel better after being laid up for 5 days regret not calling my doctor sooner!"""	10.0	November 21, 2012	42
146820	Alprazolam	Anxiety	"""Taking for GAD. Highly recommend as long as you do NOT abuse it and ONLY take it as prescribed. Starts working in about 15 minutes. Only downside is wears off rather quickly for me, but maybe that&#039;s because I&#039;ve been taking it for so long. You can quickly build up a tolerance, which is a downside. No negative side effects at all. I honestly cannot function without it. Be careful, though. I am not addicted to this medication, but I&#039;m totally dependent on it. I guess I can&#039;t say that&#039;s a bad thing since it&#039;s doing what it&#039;s supposed to do, which is help calm panic attacks and keep my anxiety at a more tolerable level so I can function day-to-day. People like me who NEED it don&#039;t get a &quot;high&quot; from it."""	9.0	February 3, 2017	11
214582	Escitalopram	Anxiety	"""Took lexapro for 4 weeks, 5mg, didn&rsquo;t have any side affects or notice any changes until the 4th week, I just suddenly realized I actually felt normal.  Stopped taking it after that and then went back on it in July when I was at one of my lowest moments I had ever experienced. I had one moment where I felt I could no longer cope and understood that suicide is about taking away your own pain, not about hurting others. Been taking it for three months now and back to my normal self. Enjoy social gatherings, have more energy, not so much social anxiety. Still only take 5mg, half a pill and it is all that I need to feel levelled out. Still zero side affects."""	10.0	November 27, 2017	3
117008	Synvisc-One	Osteoarthritis	"""I had the Synvisc 1 over a year ago in my left knee, I work 12 hour days and am on my feet a lot. I am still satisfied with the results."""	10.0	November 8, 2017	1
216188	Copper	Birth Control	"""So I just want to start off by saying insertion is really not that painful. The people that are saying it&#039;s awful either have a really low pain tolerance or don&#039;t have a very good OB. I would much rather have to get it inserted again than have to take a pill everyday. My only issue with it is that my periods are very heavy and my cramps are strong. But it is manageable. No birth control is perfect though so I would rather have this and no hormonal side effects."""	8.0	April 27, 2015	6
96633	Neurontin	Trigeminal Neuralgia	"""I was diagnosed with Trigeminal Neuralgia if Feb. 2005.  The pain associated with this is excruciating, to say the least.  I have never had such pain in all my life.  Just two nights ago I was in the ER with another episode. The doctor prescribed me Neurontin. I slept so good last night! The first good night&#039;s sleep I have had since I can remember.  My episodes happen unexpectedly and it could happen at the drop of a hat.  Then I might go a year before another &quot;attack&quot;. I just never know when this will occur.  But I do know one thing, I would not wish this on my worst enemy.  I am praying that the Neurontin will help subside the &quot;attacks&quot; and the horrible pain associated with Trigeminal Neuralgia."""	8.0	January 5, 2011	100
172073	Amitiza	Constipation, Chronic	"""1-2 months of taking then you feel the real effect but my constipation is back after 2 months"""	8.0	December 14, 2008	12
108036	Ethinyl estradiol / norelgestromin	Birth Control	"""I love the patch!!!! I have used it for 6 years and no problems. I use it 3 weeks on with 1 week off. I never had any side effects like being itchy or red marks. The only issue I&#039;ve had is when I go to the beach the salt water wears off the stickiness but I always bring an extra one due to knowing that happens. I&#039;ve never had a problem getting pregnant from using it. I think it&#039;s great I&#039;ve never gotten pregnant while on the patch but once I took it off it took me about two months to get pregnant. I love it and will continue using it."""	10.0	March 14, 2016	9
231242	Trazodone	ibromyalgia	"""I have been newly diagnosed with a moderate fibromyalgia. Not getting enough sleep and waking up with severe pain when trying to sleep. My doctor started me with 50 MG of trazodone taking 1/2 tablet at bedtime. This is the first week and it&#039;s working well. My sleep has increased to 6-8 hours as recommended  by MD. At the onset of the pain it has subsided quickly. I am a busy healthcare professional , I exercise daily and drink plenty of fluids. It  was also recommended that I go to counselling because I have a lot of personal related stress."""	9.0	September 19, 2017	2
169805	Amitriptyline	Migraine Prevention	"""I had epilepsy surgery last year and I have suffered with headaches ever since. After over a year of trying different remedies my doctor prescribed Elavil. I was so tired of having headaches everyday that I was willing to try anything. I take one 25mg tablet at bedtime and my headaches have gone away. It&#039;s like I never had them. Elavil has been a blessing to me."""	10.0	September 30, 2008	57
114255	Nicotine	Smoking Cessation	"""I started polacrilex gum at 2mg strength to try to quit. Bought it from the supermarket. I used two pieces in one day. The suggestion to &quot;use at least 9 pieces per day&quot; on the instructions seemed a bit excessive for a casual smoker like myself. I experienced a sore throat by the end of my workday at 5, and by night it was worse. It has been bothering me for two days. I think the medicine (or something else in it) just really irritated my throat, but if it persists, I&#039;m going to see a doctor. Probably wouldn&#039;t happen to everyone, but perhaps something to consider before buying!"""	2.0	January 31, 2016	3
116406	Adalimumab	Psoriatic Arthritis	"""Humira has literally been a miracle drug for me. I started a little over a month ago with the spring-loaded self-injecting pen. My Psoriatic Arthritis manifests similarly to Ankylosing Spondylitis and it usually takes me several hours in the morning to get ready. I also had psoriasis covering my scalp since I was 15 or so. Notice I said &quot;had&quot;. My psoriasis is almost entirely gone, and I get up in the morning the same as any other person. I also had a pronounced stoop forward, and my girlfriend was in tears of joy last night after we both noticed I was standing almost completely straight."""	8.0	February 14, 2010	52
11639	Trulicity	Diabetes, Type 2	"""I switched to Trulicity from Tradjenta at the recommendation of my Nurse Practitioner. The first two weeks taking .75 dosage, I had mild nausea and a little bit of a headache that lasted maybe one day. Week three, it all went to hell. I took it on Wednesday night, as usual. Thursday, mild nausea and a little bit of a headache. Friday, I woke up from the nausea and vomited into my own hands running for the bathroom. I was extremely nauseous all day long. No appetite. Diarrhea all day long. And then, these toxic, sulfur burps every couple of seconds accompanied by an awful taste in my mouth. I was exhausted. This lasted two days. By Sunday, I felt almost better. I&#039;m not taking this anymore. Now, I paid for a ton of this stuff I won&#039;t even use"""	1.0	August 14, 2017	15
147807	Norethindrone	Birth Control	"""Been on lyza since 8/16...have had a normal heavy period every month since. Except for 1 month it was surprisingly light. This month it&#039;s a week early and I&#039;m annoyed. Lyza has been hell. My boobs have been sore, acne at first but that&#039;s gone. My appetite is out of control. The only reason I started was to stop my period. My cramps have been the worst ever and more clots coming out then ever before."""	1.0	February 17, 2017	5
93720	Morphine	Pain	"""It has given me back my life. I am going to school, am happy and doing things I never thought possible."""	10.0	May 24, 2009	36
17722	Ethinyl estradiol / etonogestrel	Birth Control	"""After reading a few reviews I wanted to post my own experience with the NuvaRing! I&#039;ve been on it for a year and a half, almost two years now and I recommend it to every girl! I love it, my periods are super regular and always on time - also not to mention it&#039;s way lighter than ever as well as shorter! Everyone&#039;s body reacts differently to everything. Overall, I&#039;d recommend it to anyone to at least try it and see how you feel on it."""	10.0	June 26, 2015	9
22087	Baclofen	Muscle Spasm	"""I have ankylosing spondylitis.  Very painful.  Started taking baclofen  five days ago.  NO relief!  Too early for good results?  Excruciating pain!  Where to get relief?"""	1.0	May 22, 2017	5
23029	Methadone	Opiate Withdrawal	"""I was addicted to opiate&#039;s for years and eventually prescribed methadone to relieve chronic pain that was combined with opiate addiction. This medicine saved my life. It allows me to keep a steady job and be a good mother to my girls and a good partner to my boyfriend. I no longer wake up every morning with that nagging thought of ok how am I going to make it through another day. There&#039;s a lot of people who will tell you all negative information about this drug. Don&#039;t listen to them. I recommend talking to a doctor or clinic about this and staying in Narcotics Anonymous."""	10.0	June 13, 2017	10
130862	Levonorgestrel	Birth Control	"""Just had my baby 3 months ago. I&#039;ve had the Mirena for about two months now and I&#039;ve had light non-stop bleeding since it was inserted. I&#039;m losing my hair and every once in a while I get cramping. I like that I don&#039;t have to worry about birth control, but I&#039;m a little worried about the bleeding. I&#039;ve experienced mood swings and loss of sex drive."""	7.0	June 30, 2011	0
192040	Drospirenone / ethinyl estradiol	Premenstrual Dysphoric Disorde	"""I started Loryna for PMDD.
Started on a Sunday. By Tuesday I had 3 enormous, painful zits. By Thursday I was in severe abdominal cramping pain. Similar to period/early labor pains. By Saturday they landed me in the ER.
Every lab test and ultrasound/xray was normal so the only diagnoses that made sense was the pill. 
I&#039;m currently on day 9 of my period which would normally only last 5-6 days. 
Needless to say, it&#039;s in the trash now."""	1.0	September 5, 2016	4
15836	Ethinyl estradiol / norethindrone	Birth Control	"""I love this BC. Not gonna lie, the first month-3 months suck pretty bad. I was nauseous pretty much 24/7 and spotting for a while nonstop, but it&#039;s totally worth it. I naturally have chronic anxiety, but this pill never contributed to it. I actually feel like I&#039;ve calmed down quite a bit since I&#039;ve been on it. It definitely helps keep my moods in check and feel like a normal person. I only have a 4-5 day period at the end of each pack with one heavy day, usually. I got on this to regulate my periods. And I haven&#039;t gotten pregnant thus far. Never gained weight, never changed my appetite, nothing. I&#039;ve never had a side effect other than the first couple of months. Only bcp that didn&#039;t make me crazy!"""	10.0	August 25, 2016	2
208602	Forteo	Osteoporosis	"""I was diagnosed with severe osteoporosis.  I had no side effects with Forteo, just completed my 2-year regimen in February, 2013.  In July of this year, I tripped over a curb and fell onto a concrete sidewalk.  I hit very hard, on my cheek (lower part of eye socket), shoulder, knee, and bent my fingers backward as I landed.  X-rays showed I suffered from NO broken bones, only soft tissue damage.  I am very grateful that I had the opportunity to experience the benefits of this medicine."""	10.0	September 5, 2013	174
189085	Oxycodone	Chronic Pain	"""Works well for me now after a pretty painful period of switching/washing me out of the oxycontin regimen I was on prior. give it time to get used to and should get similar results. After all, its the same drug just packaged differently."""	8.0	August 23, 2017	12
144720	Etonogestrel	Birth Control	"""My daughter (21 yrs) had this awful drug inserted in her arm a year and a half ago. We just got it removed today after six months of trying to convince her doctor to remove it. She had to have 8 stitches and it was a very painful procedure. Since she had Nex inserted she has gained about 25 pounds, suffered from depression and anxiety, became anemic, broke out with body acne (she&#039;s never had acne, other than an occasional pimple in her teens), been to the ER and Doctor several times for ovarian cysts (never had them before) and bleeds three to four weeks straight every three months. Her attitude has been extremely negative to put it lightly. She is so tired and has no energy almost every day. I hope she recovers quickly!"""	1.0	February 8, 2016	7
130412	Levonorgestrel	Emergency Contraception	"""I have been taking Previfem/Sprintec, for about 5 years, and my periods are very regular. My husband and I also use condoms.  We had a condom break on us recently, and it just so happens that I&#039;d forgotten to take my pill that morning at the normal 12pm hour. So I took it immediately afterwards (around 830pm), and then took Plan B, the following morning, just in case. I was right in the middle of my 28 day cycle, and the most fertile, so I was very worried! The side effects I experienced were slim to none. I had some light cramping, and my breasts were sore. I experienced some spotting 11 days later (3 days prior to my normal period start date - which was odd), but my period started as normal."""	9.0	May 15, 2013	26
124874	Tri-Previfem	Endometriosis	"""I have had abnormal bleeding and digestive problems due to endometriosis for about six months now.  The digestive problems have not changed but the abnormal bleeding has stopped."""	7.0	August 9, 2013	5
30068	Klonopin	Anxiety	"""Best ever.  I take very small amount and then a whole yellow pilll to sleep.

It helps GAD, insomnia, and my RL 
S .  

I never and drive, nor do I use it work.Never make me high :) 

Works for me!!"""	9.0	April 3, 2015	23
161474	Ortho Tri-Cyclen	Birth Control	"""This pill made me an irritable, moody, depressed mess. I would fly off the handle at the drop of a hat and was constantly agitated. It was AWFUL for me and I would never take it again. It did manage to clear my skin pretty well and also my breasts were a little bit more full but it was not worth the emotional issues it caused me. I recently stayed on it for 3 months as recommended to see if side effects would lessen but they did not. The fist time I ever took this medicine I was 19 and ended up on anti-depressants because I didn&#039;t realize it was the birth control pill causing my mood swings and depression. This led to a tailspin of anti-depressant madness for the next 5 years and not one doctor ever told me I should try a different birth control pill."""	1.0	December 10, 2012	37
165199	Phentermine / topiramate	Weight Loss	"""Update to my weight loss experience, I&#039;m 51, 5&#039;5&quot; female, 3 kids, started Qysmia 9/9/13 at 198 lbs.  This morning, Nov. 7, I weighed in at 173 lbs. Lost 25 lbs in 2 months!   Eating 1200 calories a day, drinking lots of diet tea.  Still have occasional tingling in toes, but thats it.  Weight loss is about a pound a week but thats probably the healthiest way to go and I&#039;m not feeling hungry or deprived.  I eat what I want, just less, BUT drink a BIG glass of tea before eating!  Cost - yes expensive - but you&#039;re cutting back calories so it is the cost of one Big Mac Meal or its equal.  I&#039;m VERY happy with my results!!!"""	10.0	November 8, 2013	112
2862	Acetaminophen / pamabrom	Back Pain	"""I suffers with sciatica pain and its help me not get injections as the Dr stated. Im glad that I found this miracle pill. Love it!!!!!"""	10.0	November 1, 2014	15
67953	Plan B	Emergency Contraception	"""I bought the plan b around the beginning of March because my boyfriend and I took a trip for his birthday. I didn&#039;t take the pill that weekend but I prayed that everything was okay and it was. I was being very careful not to have sex during the time I was ovulating but I had a slip up towards the end of May. I remembered I had the pill in my drawer, so I took it within hours of having sex. I expected everything to be fine after that.I was wrong. My period was supposed to start two days ago but it didn&#039;t come. I took a test just to rule out pregnancy, it was positive. I am highly pissed."""	1.0	June 14, 2016	4
120429	Montelukast	Asthma, Maintenance	"""I am in my early 50&#039;s and was diagnosed with Allergy Asthma in June last year.  I had bought a puppy and have a cat.  I was tested for allergies and they tested positive to tree and grass pollens, cat and mainly the dog.  I could barely breathe, coughed constantly and wheezed.  I couldn&#039;t even walk upstairs without panting and wheezing.   I was on two different inhalers and anti allergy tablets.
After my third course of steroid tablets I was put on Montelukast and also Seratide Evohaler.  I have been on this medication. I feel totally normal again and, more importantly, I am able to keep my dog!"""	10.0	January 2, 2013	8
167753	Levonorgestrel	Birth Control	"""Most painful thing ever! Did not think it would hurt as bad as the doctor told mr! However, I do have low pain tolerance, I feel the worst I&#039;ve ever felt! I think bc I never had a kid. Not something, you take on your lunch break!"""	3.0	January 12, 2016	0
220024	Amitriptyline	Pain	"""Very good"""	8.0	February 10, 2016	34
